NAME,EMP,ESTAB,PAYANN,NAICS2017,state,county
"Granville County, North Carolina",11,6,269,81119,37,077
"Granville County, North Carolina",7,5,179,811192,37,077
"Granville County, North Carolina",53,16,2035,812,37,077
"Granville County, North Carolina",966,54,15830,72251,37,077
"Granville County, North Carolina",300,19,5012,722511,37,077
"Granville County, North Carolina",16,5,504,8113,37,077
"Granville County, North Carolina",16,5,504,81131,37,077
"Granville County, North Carolina",16,5,504,811310,37,077
"Granville County, North Carolina",4,3,84,8121,37,077
"Granville County, North Carolina",4,3,84,81211,37,077
"Granville County, North Carolina",28,8,1311,8122,37,077
"Granville County, North Carolina",23,5,1163,81221,37,077
"Granville County, North Carolina",23,5,1163,812210,37,077
"Granville County, North Carolina",5,3,148,81222,37,077
"Granville County, North Carolina",5,3,148,812220,37,077
"Granville County, North Carolina",3,3,63,8123,37,077
"Granville County, North Carolina",294,67,4994,813,37,077
"Granville County, North Carolina",250,63,4104,8131,37,077
"Granville County, North Carolina",250,63,4104,81311,37,077
"Granville County, North Carolina",250,63,4104,813110,37,077
