Partner ,Flow,Start Year,State,Unit,Product ,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Paraguay,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$22 ,$14 ,$14 ,$17 ,$12 ,$23 ,$7 ,$9 ,$11 ,$60 ,$84 
Croatia,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$86 ,$43 ,$7 ,$5 ,$8 ,$9 ,$8 ,$10 ,$15 ,$139 ,$81 
Argentina,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$169 ,$178 ,$111 ,$121 ,$113 ,$104 ,$74 ,$87 ,$125 ,$106 ,$81 
Jordan,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$201 ,$216 ,$132 ,$124 ,$140 ,$120 ,$124 ,$108 ,$115 ,$125 ,$80 
Nigeria,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$194 ,$136 ,$109 ,$88 ,$122 ,$111 ,$117 ,$232 ,$102 ,$90 ,$78 
Egypt,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$71 ,$84 ,$50 ,$63 ,$59 ,$73 ,$53 ,$71 ,$67 ,$36 ,$70 
Norway,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$133 ,$131 ,$114 ,$113 ,$156 ,$100 ,$57 ,$62 ,$83 ,$99 ,$69 
Ghana,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$91 ,$67 ,$70 ,$89 ,$83 ,$118 ,$121 ,$139 ,$74 ,$83 ,$68 
Ukraine,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$46 ,$47 ,$46 ,$89 ,$107 ,$132 ,$126 ,$188 ,$68 ,$38 ,$58 
Bahrain,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$37 ,$42 ,$48 ,$58 ,$19 ,$41 ,$32 ,$62 ,$49 ,$62 ,$55 
Bahamas,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$23 ,$24 ,$25 ,$34 ,$72 ,$40 ,$20 ,$29 ,$33 ,$52 ,$54 
Finland,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$185 ,$72 ,$81 ,$76 ,$74 ,$55 ,$60 ,$54 ,$61 ,$51 ,$50 
Russia,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$388 ,$343 ,$312 ,$383 ,$337 ,$288 ,$283 ,$290 ,$74 ,$40 ,$48 
Greece,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$53 ,$35 ,$41 ,$33 ,$34 ,$61 ,$50 ,$63 ,$69 ,$79 ,$47 
Slovenia,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$6 ,$7 ,$6 ,$14 ,$12 ,$9 ,$15 ,$14 ,$10 ,$17 ,$45 
Morocco,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$18 ,$13 ,$24 ,$49 ,$20 ,$29 ,$30 ,$62 ,$29 ,$50 ,$45 
Kyrgyzstan,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$4 ,$1 ,$2 ,$3 ,$4 ,$5 ,$3 ,$6 ,$9 ,$25 ,$45 
Botswana,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$0 ,$0 ,$1 ,$5 ,$6 ,$68 ,$2 ,$8 ,$17 ,$21 ,$39 
Hungary,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$47 ,$45 ,$59 ,$45 ,$59 ,$38 ,$30 ,$52 ,$57 ,$63 ,$39 
El Salvador,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$29 ,$77 ,$56 ,$75 ,$68 ,$57 ,$43 ,$41 ,$55 ,$45 ,$38 
Senegal,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$27 ,$28 ,$20 ,$22 ,$23 ,$27 ,$31 ,$41 ,$39 ,$37 ,$37 
Jamaica,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$76 ,$69 ,$44 ,$43 ,$52 ,$36 ,$22 ,$23 ,$33 ,$36 ,$37 
Bermuda,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$34 ,$33 ,$25 ,$24 ,$29 ,$51 ,$15 ,$29 ,$54 ,$38 ,$36 
Honduras,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$45 ,$95 ,$65 ,$33 ,$34 ,$32 ,$19 ,$49 ,$42 ,$36 ,$35 
Aruba,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$39 ,$26 ,$24 ,$33 ,$29 ,$29 ,$7 ,$20 ,$40 ,$16 ,$33 
Lebanon,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$80 ,$83 ,$68 ,$65 ,$65 ,$65 ,$20 ,$81 ,$88 ,$37 ,$33 
Estonia,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$43 ,$41 ,$27 ,$29 ,$40 ,$38 ,$16 ,$20 ,$25 ,$27 ,$31 
Guyana,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$21 ,$29 ,$27 ,$18 ,$36 ,$17 ,$17 ,$26 ,$28 ,$28 ,$31 
Cayman Islands,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$11 ,$13 ,$17 ,$19 ,$20 ,$27 ,$16 ,$30 ,$43 ,$23 ,$29 
Ecuador,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$75 ,$62 ,$38 ,$31 ,$44 ,$46 ,$30 ,$35 ,$33 ,$34 ,$29 
Latvia,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$59 ,$31 ,$35 ,$59 ,$61 ,$36 ,$14 ,$41 ,$45 ,$30 ,$28 
Malta,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$4 ,$2 ,$4 ,$20 ,$1 ,$3 ,$3 ,$3 ,$10 ,$3 ,$28 
Uruguay,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$31 ,$19 ,$26 ,$32 ,$22 ,$24 ,$15 ,$17 ,$20 ,$35 ,$27 
Kazakhstan,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$23 ,$16 ,$12 ,$21 ,$22 ,$24 ,$13 ,$13 ,$20 ,$28 ,$27 
Libya,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$38 ,$8 ,$6 ,$6 ,$17 ,$32 ,$13 ,$19 ,$22 ,$29 ,$26 
Bangladesh,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$24 ,$21 ,$36 ,$30 ,$57 ,$22 ,$21 ,$46 ,$44 ,$41 ,$25 
Nicaragua,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$26 ,$56 ,$25 ,$29 ,$10 ,$8 ,$8 ,$8 ,$17 ,$19 ,$23 
Trinidad and Tobago,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$44 ,$50 ,$43 ,$34 ,$35 ,$41 ,$25 ,$24 ,$35 ,$25 ,$23 
